"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2020","419.85","410.31","424.44","408.00","7.95M","1.93%"
"04/29/2020","411.89","399.53","415.86","393.60","9.69M","2.00%"
"04/28/2020","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"04/27/2020","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"04/24/2020","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"04/23/2020","426.70","419.26","438.41","419.26","13.95M","1.25%"
"04/22/2020","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"04/21/2020","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"04/20/2020","437.49","435.17","444.49","430.56","12.66M","3.44%"
"04/17/2020","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"04/16/2020","439.17","437.00","449.52","431.61","16.13M","2.91%"
"04/15/2020","426.75","413.00","434.98","412.25","13.56M","3.19%"
"04/14/2020","413.55","397.50","417.82","394.85","11.58M","4.24%"
"04/13/2020","396.72","371.31","400.51","367.70","11.69M","7.01%"
"04/09/2020","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"04/08/2020","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"04/07/2020","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"04/06/2020","379.96","365.22","380.29","361.71","8.18M","5.03%"
"04/03/2020","361.76","367.47","370.90","357.51","4.86M","-2.25%"
"04/02/2020","370.08","364.08","370.99","360.06","4.59M","1.65%"
"04/01/2020","364.08","376.05","380.23","361.02","6.67M","-3.04%"
"03/31/2020","375.50","367.93","383.01","366.44","9.37M","1.22%"
"03/30/2020","370.96","363.00","377.80","361.17","8.62M","3.88%"
"03/27/2020","357.12","359.09","368.56","353.00","7.95M","-1.62%"
"03/26/2020","362.99","344.00","363.84","341.73","7.24M","6.02%"
"03/25/2020","342.39","361.02","362.00","339.17","8.77M","-4.18%"
"03/24/2020","357.32","369.91","372.05","353.21","11.64M","-0.82%"
