"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2021","458.99","455.49","460.62","453.66","1.91M","1.04%"
"08/19/2021","454.26","442.95","455.50","441.31","1.95M","1.80%"
"08/18/2021","446.21","450.96","455.23","445.90","2.03M","-1.36%"
"08/17/2021","452.34","452.86","453.78","449.70","1.94M","-0.11%"
"08/16/2021","452.86","447.91","453.19","447.05","1.52M","1.13%"
"08/13/2021","447.82","445.78","448.36","444.54","1.31M","0.55%"
"08/12/2021","445.36","443.00","446.63","442.25","1.23M","0.24%"
"08/11/2021","444.30","445.50","448.00","441.80","2.27M","0.29%"
"08/10/2021","443.03","440.66","443.80","440.66","1.89M","0.58%"
"08/09/2021","440.47","440.65","442.78","439.31","1.47M","0.19%"
"08/06/2021","439.63","442.73","443.46","438.90","1.79M","-0.80%"
"08/05/2021","443.19","437.75","443.50","436.73","1.74M","1.87%"
"08/04/2021","435.04","436.00","437.99","432.89","1.28M","-0.01%"
"08/03/2021","435.07","429.92","436.80","429.12","1.45M","1.43%"
"08/02/2021","428.92","430.62","430.71","425.48","1.37M","-0.19%"
"07/30/2021","429.72","425.98","431.50","425.94","2.28M","1.04%"
"07/29/2021","425.28","421.68","425.85","420.36","1.43M","0.72%"
"07/28/2021","422.22","423.27","424.86","420.54","1.36M","-0.50%"
"07/27/2021","424.34","424.00","424.56","421.60","1.67M","0.26%"
"07/26/2021","423.23","423.40","424.50","420.35","1.22M","-0.05%"
"07/23/2021","423.43","418.29","423.99","417.05","1.34M","1.41%"
"07/22/2021","417.54","416.00","418.60","413.55","1.34M","0.61%"
"07/21/2021","415.01","417.11","417.11","412.22","1.48M","-0.30%"
"07/20/2021","416.24","414.00","418.07","412.85","2.05M","0.50%"
"07/19/2021","414.15","410.06","415.32","410.05","2.29M","0.92%"
"07/16/2021","410.37","412.12","413.42","409.77","1.41M","-0.35%"
"07/15/2021","411.82","410.46","412.20","407.88","1.89M","0.46%"
